"April 20, 2021 at 09:01PM",pos_4_2,AP1,AP2,AP3
"April 25, 2021 at 03:55PM",pos_4_2,-54,-35,-38
"April 25, 2021 at 03:55PM",pos_4_2,-49,-37,-47
"April 25, 2021 at 03:56PM",pos_4_2,-56,-46,-47
"April 25, 2021 at 03:56PM",pos_4_2,-55,-46,-47
"April 25, 2021 at 03:56PM",pos_4_2,-50,-47,-40
"April 25, 2021 at 03:56PM",pos_4_2,-50,-33,-48
"April 25, 2021 at 03:56PM",pos_4_2,-48,-35,-48
"April 25, 2021 at 03:57PM",pos_4_2,-49,-42,-50
"April 25, 2021 at 03:57PM",pos_4_2,-52,-33,-52
"April 25, 2021 at 03:57PM",pos_4_2,-50,-43,-41
"April 25, 2021 at 03:58PM",pos_4_2,-47,-36,-51
"April 25, 2021 at 03:58PM",pos_4_2,-48,-44,-49
"April 25, 2021 at 03:58PM",pos_4_2,-47,-32,-43
"April 25, 2021 at 03:58PM",pos_4_2,-42,-35,-49
"April 25, 2021 at 03:58PM",pos_4_2,-49,-35,-47
"April 25, 2021 at 03:59PM",pos_4_2,-47,-57,-41
"April 25, 2021 at 03:59PM",pos_4_2,-51,-34,-41
"April 25, 2021 at 03:59PM",pos_4_2,-50,-37,-41
"April 25, 2021 at 03:59PM",pos_4_2,-48,-33,-49
"April 25, 2021 at 03:59PM",pos_4_2,-41,-33,-51
"April 25, 2021 at 04:00PM",pos_4_2,-50,-34,-53
"April 25, 2021 at 04:00PM",pos_4_2,-50,-34,-47
"April 25, 2021 at 04:00PM",pos_4_2,-49,-33,-50
"April 25, 2021 at 04:00PM",pos_4_2,-50,-36,-49
"April 25, 2021 at 04:00PM",pos_4_2,-47,-35,-52
"April 25, 2021 at 04:01PM",pos_4_2,-39,-59,-43
"April 25, 2021 at 04:01PM",pos_4_2,-52,-33,-57
"April 25, 2021 at 04:01PM",pos_4_2,-52,-31,-49
"April 25, 2021 at 04:01PM",pos_4_2,-52,-36,-49
"April 25, 2021 at 04:01PM",pos_4_2,-47,-36,-44
"April 25, 2021 at 04:02PM",pos_4_2,-51,-33,-53
"April 25, 2021 at 04:02PM",pos_4_2,-51,-42,-52
"April 25, 2021 at 04:02PM",pos_4_2,-53,-46,-43
"April 25, 2021 at 04:02PM",pos_4_2,-52,-44,-43
"April 25, 2021 at 04:03PM",pos_4_2,-53,-34,-43
"April 25, 2021 at 04:03PM",pos_4_2,-52,-30,-53
"April 25, 2021 at 04:03PM",pos_4_2,-53,-35,-49
"April 25, 2021 at 04:03PM",pos_4_2,-51,-64,-40
"April 25, 2021 at 04:03PM",pos_4_2,-48,-32,-56
"April 25, 2021 at 04:04PM",pos_4_2,-54,-32,-36
"April 25, 2021 at 04:04PM",pos_4_2,-48,-31,-49
"April 25, 2021 at 04:04PM",pos_4_2,-49,-34,-41
"April 25, 2021 at 04:04PM",pos_4_2,-49,-38,-40
"April 25, 2021 at 04:04PM",pos_4_2,-48,-45,-42
"April 25, 2021 at 04:04PM",pos_4_2,-47,-34,-39
"April 25, 2021 at 04:05PM",pos_4_2,-51,-34,-50
"April 25, 2021 at 04:05PM",pos_4_2,-50,-33,-49
"April 25, 2021 at 04:05PM",pos_4_2,-52,-31,-46
"April 25, 2021 at 04:05PM",pos_4_2,-45,-47,-48
"April 25, 2021 at 04:05PM",pos_4_2,-52,-36,-47
"April 25, 2021 at 04:06PM",pos_4_2,-50,-31,-46
"April 25, 2021 at 04:06PM",pos_4_2,-50,-44,-49
"April 25, 2021 at 04:06PM",pos_4_2,-51,-34,-49
"April 25, 2021 at 04:06PM",pos_4_2,-49,-33,-41
"April 25, 2021 at 04:06PM",pos_4_2,-53,-33,-49
"April 25, 2021 at 04:07PM",pos_4_2,-53,-33,-49
"April 25, 2021 at 04:07PM",pos_4_2,-52,-39,-38
"April 25, 2021 at 04:07PM",pos_4_2,-48,-35,-40
"April 25, 2021 at 04:07PM",pos_4_2,-53,-47,-46
"April 25, 2021 at 04:07PM",pos_4_2,-50,-32,-46
"April 25, 2021 at 04:08PM",pos_4_2,-49,-32,-37
"April 25, 2021 at 04:08PM",pos_4_2,-52,-32,-49
"April 25, 2021 at 04:08PM",pos_4_2,-48,-34,-41
"April 25, 2021 at 04:08PM",pos_4_2,-50,-29,-48
"April 25, 2021 at 04:08PM",pos_4_2,-42,-32,-48
"April 25, 2021 at 04:08PM",pos_4_2,-39,-30,-48
"April 25, 2021 at 04:09PM",pos_4_2,-51,-32,-38
"April 25, 2021 at 04:09PM",pos_4_2,-48,-32,-50
"April 25, 2021 at 04:09PM",pos_4_2,-50,-44,-48
"April 25, 2021 at 04:09PM",pos_4_2,-48,-36,-47
"April 25, 2021 at 04:09PM",pos_4_2,-41,-43,-39
"April 25, 2021 at 04:10PM",pos_4_2,-52,-47,-50
"April 25, 2021 at 04:10PM",pos_4_2,-51,-36,-39
"April 25, 2021 at 04:10PM",pos_4_2,-52,-45,-39
"April 25, 2021 at 04:11PM",pos_4_2,-52,-36,-45
"April 25, 2021 at 04:11PM",pos_4_2,-51,-36,-46
"April 25, 2021 at 04:11PM",pos_4_2,-51,-34,-48
"April 25, 2021 at 04:11PM",pos_4_2,-50,-35,-40
"April 25, 2021 at 04:12PM",pos_4_2,-51,-37,-39
"April 25, 2021 at 04:12PM",pos_4_2,-50,-45,-53
"April 25, 2021 at 04:12PM",pos_4_2,-48,-50,-46
"April 25, 2021 at 04:12PM",pos_4_2,-49,-35,-48
"April 25, 2021 at 04:12PM",pos_4_2,-50,-35,-41
"April 25, 2021 at 04:12PM",pos_4_2,-56,-33,-46
"April 25, 2021 at 04:13PM",pos_4_2,-50,-39,-48
"April 25, 2021 at 04:13PM",pos_4_2,-50,-48,-53
"April 25, 2021 at 04:13PM",pos_4_2,-48,-47,-47
"April 25, 2021 at 04:13PM",pos_4_2,-50,-35,-41
"April 25, 2021 at 04:13PM",pos_4_2,-50,-50,-39
"April 25, 2021 at 04:14PM",pos_4_2,-48,-37,-39
"April 25, 2021 at 04:14PM",pos_4_2,-49,-44,-39
"April 25, 2021 at 04:14PM",pos_4_2,-50,-43,-40
"April 25, 2021 at 04:14PM",pos_4_2,-50,-43,-41
"April 25, 2021 at 04:14PM",pos_4_2,-51,-38,-40
"April 25, 2021 at 04:14PM",pos_4_2,-51,-36,-38
"April 25, 2021 at 04:15PM",pos_4_2,-51,-38,-38
"April 25, 2021 at 04:15PM",pos_4_2,-49,-34,-38
"April 25, 2021 at 04:15PM",pos_4_2,-51,-46,-38
"April 25, 2021 at 04:15PM",pos_4_2,-48,-44,-46
"April 25, 2021 at 04:15PM",pos_4_2,-49,-38,-47
"April 25, 2021 at 04:16PM",pos_4_2,-54,-38,-42
"April 25, 2021 at 04:16PM",pos_4_2,-49,-34,-48
"April 25, 2021 at 04:16PM",pos_4_2,-52,-34,-48
"April 25, 2021 at 04:16PM",pos_4_2,-56,-46,-49
"April 25, 2021 at 04:16PM",pos_4_2,-51,-48,-48
"April 25, 2021 at 04:17PM",pos_4_2,-53,-34,-48
"April 25, 2021 at 04:17PM",pos_4_2,-49,-34,-48
"April 25, 2021 at 04:17PM",pos_4_2,-55,-36,-44
"April 25, 2021 at 04:17PM",pos_4_2,-53,-45,-39
"April 25, 2021 at 04:17PM",pos_4_2,-48,-38,-48
"April 25, 2021 at 04:18PM",pos_4_2,-52,-45,-46
"April 25, 2021 at 04:18PM",pos_4_2,-49,-34,-40
"April 25, 2021 at 04:18PM",pos_4_2,-49,-47,-50
"April 25, 2021 at 04:18PM",pos_4_2,-49,-37,-43
"April 25, 2021 at 04:18PM",pos_4_2,-50,-31,-47
"April 25, 2021 at 04:19PM",pos_4_2,-49,-34,-43
"April 25, 2021 at 04:19PM",pos_4_2,-51,-30,-45
"April 25, 2021 at 04:19PM",pos_4_2,-48,-33,-47
"April 25, 2021 at 04:19PM",pos_4_2,-49,-35,-46
"April 25, 2021 at 04:19PM",pos_4_2,-51,-34,-41
"April 25, 2021 at 04:20PM",pos_4_2,-50,-32,-40
"April 25, 2021 at 04:20PM",pos_4_2,-51,-33,-47
"April 25, 2021 at 04:20PM",pos_4_2,-52,-35,-51
"April 25, 2021 at 04:20PM",pos_4_2,-50,-37,-49
"April 25, 2021 at 04:20PM",pos_4_2,-48,-37,-39
"April 25, 2021 at 04:20PM",pos_4_2,-47,-35,-38
"April 25, 2021 at 04:21PM",pos_4_2,-50,-46,-46
"April 25, 2021 at 04:21PM",pos_4_2,-51,-38,-54
"April 25, 2021 at 04:21PM",pos_4_2,-50,-32,-45
