"April 24, 2021 at 11:15AM",pos_1_1,AP1,AP2,AP3
"April 24, 2021 at 11:34AM",pos_1_1,-35,-56,-43
"April 24, 2021 at 11:34AM",pos_1_1,-35,-55,-44
"April 24, 2021 at 11:34AM",pos_1_1,-36,-60,-42
"April 24, 2021 at 11:34AM",pos_1_1,-32,-56,-37
"April 24, 2021 at 11:34AM",pos_1_1,-34,-55,-49
"April 24, 2021 at 11:35AM",pos_1_1,-32,-57,-47
"April 24, 2021 at 11:35AM",pos_1_1,-32,-54,-37
"April 24, 2021 at 11:35AM",pos_1_1,-33,-53,-47
"April 24, 2021 at 11:35AM",pos_1_1,-32,-45,-49
"April 24, 2021 at 11:35AM",pos_1_1,-33,-56,-47
"April 24, 2021 at 11:36AM",pos_1_1,-32,-52,-46
"April 24, 2021 at 11:36AM",pos_1_1,-31,-55,-48
"April 24, 2021 at 11:36AM",pos_1_1,-33,-55,-54
"April 24, 2021 at 11:36AM",pos_1_1,-34,-58,-48
"April 24, 2021 at 11:36AM",pos_1_1,-33,-56,-52
"April 24, 2021 at 11:37AM",pos_1_1,-32,-59,-52
"April 24, 2021 at 11:37AM",pos_1_1,-34,-56,-53
"April 24, 2021 at 11:37AM",pos_1_1,-32,-55,-39
"April 24, 2021 at 11:37AM",pos_1_1,-32,-57,-37
"April 24, 2021 at 11:37AM",pos_1_1,-31,-57,-50
"April 24, 2021 at 11:37AM",pos_1_1,-33,-58,-57
"April 24, 2021 at 11:38AM",pos_1_1,-32,-54,-43
"April 24, 2021 at 11:38AM",pos_1_1,-31,-61,-44
"April 24, 2021 at 11:38AM",pos_1_1,-33,-57,-44
"April 24, 2021 at 11:38AM",pos_1_1,-32,-55,-52
"April 24, 2021 at 11:38AM",pos_1_1,-32,-52,-42
"April 24, 2021 at 11:39AM",pos_1_1,-32,-50,-49
"April 24, 2021 at 11:39AM",pos_1_1,-33,-54,-40
"April 24, 2021 at 11:39AM",pos_1_1,-35,-54,-35
"April 24, 2021 at 11:39AM",pos_1_1,-30,-56,-35
"April 24, 2021 at 11:39AM",pos_1_1,-29,-53,-45
"April 24, 2021 at 11:40AM",pos_1_1,-28,-57,-48
"April 24, 2021 at 11:40AM",pos_1_1,-32,-58,-48
"April 24, 2021 at 11:40AM",pos_1_1,-30,-57,-39
"April 24, 2021 at 11:40AM",pos_1_1,-29,-54,-44
"April 24, 2021 at 11:40AM",pos_1_1,-30,-54,-36
"April 24, 2021 at 11:41AM",pos_1_1,-30,-56,-35
"April 24, 2021 at 11:41AM",pos_1_1,-29,-56,-38
"April 24, 2021 at 11:41AM",pos_1_1,-29,-57,-37
"April 24, 2021 at 11:41AM",pos_1_1,-30,-56,-38
"April 24, 2021 at 11:41AM",pos_1_1,-31,-55,-39
"April 24, 2021 at 11:42AM",pos_1_1,-28,-60,-38
"April 24, 2021 at 11:42AM",pos_1_1,-30,-59,-43
"April 24, 2021 at 11:42AM",pos_1_1,-30,-58,-39
"April 24, 2021 at 11:42AM",pos_1_1,-31,-56,-32
"April 24, 2021 at 11:42AM",pos_1_1,-33,-57,-34
"April 24, 2021 at 11:42AM",pos_1_1,-56,-55,-36
"April 24, 2021 at 11:43AM",pos_1_1,-31,-55,-35
"April 24, 2021 at 11:43AM",pos_1_1,-30,-56,-34
"April 24, 2021 at 11:43AM",pos_1_1,-31,-53,-33
"April 24, 2021 at 11:43AM",pos_1_1,-28,-57,-35
"April 24, 2021 at 11:44AM",pos_1_1,-30,-47,-44
"April 24, 2021 at 11:44AM",pos_1_1,-31,-58,-35
"April 24, 2021 at 11:44AM",pos_1_1,-29,-52,-40
"April 24, 2021 at 11:44AM",pos_1_1,-28,-53,-45
"April 24, 2021 at 11:44AM",pos_1_1,-32,-57,-37
"April 24, 2021 at 11:45AM",pos_1_1,-30,-55,-37
"April 24, 2021 at 11:45AM",pos_1_1,-30,-56,-36
"April 24, 2021 at 11:45AM",pos_1_1,-32,-56,-37
"April 24, 2021 at 11:45AM",pos_1_1,-33,-58,-35
"April 24, 2021 at 11:46AM",pos_1_1,-31,-54,-37
"April 24, 2021 at 11:46AM",pos_1_1,-29,-58,-34
"April 24, 2021 at 11:46AM",pos_1_1,-31,-59,-71
"April 24, 2021 at 11:46AM",pos_1_1,-33,-56,-36
"April 24, 2021 at 11:46AM",pos_1_1,-33,-62,-35
"April 24, 2021 at 11:47AM",pos_1_1,-30,-55,-35
"April 24, 2021 at 11:47AM",pos_1_1,-31,-54,-49
"April 24, 2021 at 11:47AM",pos_1_1,-33,-46,-36
"April 24, 2021 at 11:47AM",pos_1_1,-30,-54,-35
"April 24, 2021 at 11:47AM",pos_1_1,-30,-51,-37
"April 24, 2021 at 11:48AM",pos_1_1,-30,-53,-34
"April 24, 2021 at 11:48AM",pos_1_1,-31,-54,-44
"April 24, 2021 at 11:48AM",pos_1_1,-33,-58,-37
"April 24, 2021 at 11:48AM",pos_1_1,-31,-53,-35
"April 24, 2021 at 11:48AM",pos_1_1,-32,-53,-38
"April 24, 2021 at 11:48AM",pos_1_1,-35,-55,-32
"April 24, 2021 at 11:49AM",pos_1_1,-33,-56,-32
"April 24, 2021 at 11:49AM",pos_1_1,-32,-55,-32
"April 24, 2021 at 11:49AM",pos_1_1,-32,-55,-36
"April 24, 2021 at 11:49AM",pos_1_1,-32,-54,-34
"April 24, 2021 at 11:49AM",pos_1_1,-33,-55,-38
"April 24, 2021 at 11:50AM",pos_1_1,-31,-54,-40
"April 24, 2021 at 11:50AM",pos_1_1,-32,-53,-47
"April 24, 2021 at 11:50AM",pos_1_1,-35,-45,-39
"April 24, 2021 at 11:50AM",pos_1_1,-31,-53,-53
"April 24, 2021 at 11:50AM",pos_1_1,-31,-55,-46
"April 24, 2021 at 11:50AM",pos_1_1,-33,-58,-48
"April 24, 2021 at 11:51AM",pos_1_1,-32,-45,-52
"April 24, 2021 at 11:51AM",pos_1_1,-33,-56,-39
"April 24, 2021 at 11:51AM",pos_1_1,-34,-56,-47
"April 24, 2021 at 11:51AM",pos_1_1,-38,-51,-36
"April 24, 2021 at 11:51AM",pos_1_1,-34,-54,-46
"April 24, 2021 at 11:52AM",pos_1_1,-37,-54,-36
"April 24, 2021 at 11:52AM",pos_1_1,-39,-60,-50
"April 24, 2021 at 11:52AM",pos_1_1,-40,-54,-53
"April 24, 2021 at 11:52AM",pos_1_1,-46,-54,-45
"April 24, 2021 at 11:52AM",pos_1_1,-40,-56,-49
"April 24, 2021 at 11:53AM",pos_1_1,-40,-63,-35
"April 24, 2021 at 11:53AM",pos_1_1,-46,-60,-43
"April 24, 2021 at 11:53AM",pos_1_1,-39,-66,-45
