"April 20, 2021 at 08:51PM",pos_2_4,AP1,AP2,AP3
"April 24, 2021 at 03:47PM",pos_2_4,-34,-57,-15
"April 24, 2021 at 03:47PM",pos_2_4,-29,-41,-14
"April 24, 2021 at 03:47PM",pos_2_4,-33,-52,-17
"April 24, 2021 at 03:47PM",pos_2_4,-31,-49,-18
"April 24, 2021 at 03:48PM",pos_2_4,-34,-49,-14
"April 24, 2021 at 03:48PM",pos_2_4,-32,-53,-16
"April 24, 2021 at 03:48PM",pos_2_4,-32,-51,-15
"April 24, 2021 at 03:48PM",pos_2_4,-36,-57,-17
"April 24, 2021 at 03:48PM",pos_2_4,-35,-52,-14
"April 24, 2021 at 03:49PM",pos_2_4,-32,-48,-14
"April 24, 2021 at 03:49PM",pos_2_4,-34,-51,-15
"April 24, 2021 at 03:49PM",pos_2_4,-32,-44,-14
"April 24, 2021 at 03:49PM",pos_2_4,-32,-41,-19
"April 24, 2021 at 03:49PM",pos_2_4,-34,-52,-23
"April 24, 2021 at 03:50PM",pos_2_4,-31,-51,-24
"April 24, 2021 at 03:50PM",pos_2_4,-31,-36,-23
"April 24, 2021 at 03:50PM",pos_2_4,-32,-49,-22
"April 24, 2021 at 03:50PM",pos_2_4,-32,-49,-22
"April 24, 2021 at 03:50PM",pos_2_4,-34,-54,-28
"April 24, 2021 at 03:50PM",pos_2_4,-32,-41,-23
"April 24, 2021 at 03:51PM",pos_2_4,-33,-41,-23
"April 24, 2021 at 03:51PM",pos_2_4,-31,-41,-20
"April 24, 2021 at 03:51PM",pos_2_4,-32,-40,-23
"April 24, 2021 at 03:51PM",pos_2_4,-32,-49,-24
"April 24, 2021 at 03:51PM",pos_2_4,-33,-51,-24
"April 24, 2021 at 03:52PM",pos_2_4,-32,-53,-25
"April 24, 2021 at 03:52PM",pos_2_4,-33,-43,-24
"April 24, 2021 at 03:52PM",pos_2_4,-29,-44,-24
"April 24, 2021 at 03:52PM",pos_2_4,-39,-58,-24
"April 24, 2021 at 03:52PM",pos_2_4,-32,-54,-27
"April 24, 2021 at 03:53PM",pos_2_4,-30,-38,-22
"April 24, 2021 at 03:53PM",pos_2_4,-31,-50,-20
"April 24, 2021 at 03:53PM",pos_2_4,-30,-46,-23
"April 24, 2021 at 03:53PM",pos_2_4,-33,-41,-24
"April 24, 2021 at 03:53PM",pos_2_4,-34,-46,-26
"April 24, 2021 at 03:54PM",pos_2_4,-31,-51,-21
"April 24, 2021 at 03:54PM",pos_2_4,-34,-50,-23
"April 24, 2021 at 03:54PM",pos_2_4,-31,-48,-23
"April 24, 2021 at 03:54PM",pos_2_4,-30,-50,-23
"April 24, 2021 at 03:54PM",pos_2_4,-32,-53,-24
"April 24, 2021 at 03:55PM",pos_2_4,-30,-58,-21
"April 24, 2021 at 03:55PM",pos_2_4,-30,-50,-24
"April 24, 2021 at 03:55PM",pos_2_4,-32,-51,-21
"April 24, 2021 at 03:55PM",pos_2_4,-30,-54,-27
"April 24, 2021 at 03:55PM",pos_2_4,-32,-57,-26
"April 24, 2021 at 03:56PM",pos_2_4,-32,-54,-23
"April 24, 2021 at 03:56PM",pos_2_4,-31,-56,-74
"April 24, 2021 at 03:56PM",pos_2_4,-31,-50,-25
"April 24, 2021 at 03:56PM",pos_2_4,-30,-38,-24
"April 24, 2021 at 03:56PM",pos_2_4,-32,-48,-22
"April 24, 2021 at 03:57PM",pos_2_4,-31,-47,-25
"April 24, 2021 at 03:57PM",pos_2_4,-32,-52,-26
"April 24, 2021 at 03:57PM",pos_2_4,-31,-49,-23
"April 24, 2021 at 03:57PM",pos_2_4,-37,-49,-22
"April 24, 2021 at 03:57PM",pos_2_4,-40,-41,-23
"April 24, 2021 at 03:58PM",pos_2_4,-31,-60,-23
"April 24, 2021 at 03:58PM",pos_2_4,-31,-48,-21
"April 24, 2021 at 03:58PM",pos_2_4,-31,-50,-24
"April 24, 2021 at 03:58PM",pos_2_4,-36,-51,-24
"April 24, 2021 at 03:58PM",pos_2_4,-35,-43,-26
"April 24, 2021 at 03:59PM",pos_2_4,-37,-51,-26
"April 24, 2021 at 03:59PM",pos_2_4,-32,-41,-26
"April 24, 2021 at 03:59PM",pos_2_4,-32,-54,-26
"April 24, 2021 at 03:59PM",pos_2_4,-29,-49,-23
"April 24, 2021 at 03:59PM",pos_2_4,-29,-41,-23
"April 24, 2021 at 04:00PM",pos_2_4,-33,-45,-26
"April 24, 2021 at 04:00PM",pos_2_4,-30,-45,-23
"April 24, 2021 at 04:00PM",pos_2_4,-34,-54,-24
"April 24, 2021 at 04:00PM",pos_2_4,-32,-50,-27
"April 24, 2021 at 04:00PM",pos_2_4,-32,-61,-23
"April 24, 2021 at 04:01PM",pos_2_4,-33,-55,-26
"April 24, 2021 at 04:01PM",pos_2_4,-33,-59,-22
"April 24, 2021 at 04:01PM",pos_2_4,-33,-56,-23
"April 24, 2021 at 04:01PM",pos_2_4,-34,-37,-22
"April 24, 2021 at 04:01PM",pos_2_4,-30,-42,-20
"April 24, 2021 at 04:01PM",pos_2_4,-32,-44,-25
"April 24, 2021 at 04:02PM",pos_2_4,-34,-53,-23
"April 24, 2021 at 04:12PM",pos_2_4,-29,-55,-19
"April 24, 2021 at 04:12PM",pos_2_4,-32,-57,-21
"April 24, 2021 at 04:12PM",pos_2_4,-33,-57,-20
"April 24, 2021 at 04:12PM",pos_2_4,-30,-51,-20
"April 24, 2021 at 04:13PM",pos_2_4,-30,-55,-20
"April 24, 2021 at 04:13PM",pos_2_4,-32,-55,-23
"April 24, 2021 at 04:13PM",pos_2_4,-31,-69,-25
"April 24, 2021 at 04:13PM",pos_2_4,-32,-54,-26
"April 24, 2021 at 04:13PM",pos_2_4,-32,-72,-26
"April 24, 2021 at 04:13PM",pos_2_4,-52,-62,-24
"April 24, 2021 at 04:14PM",pos_2_4,-30,-56,-22
"April 24, 2021 at 04:14PM",pos_2_4,-30,-59,-19
"April 24, 2021 at 04:14PM",pos_2_4,-29,-50,-23
"April 24, 2021 at 04:14PM",pos_2_4,-31,-56,-21
"April 24, 2021 at 04:15PM",pos_2_4,-29,-52,-23
"April 24, 2021 at 04:15PM",pos_2_4,-33,-56,-28
"April 24, 2021 at 04:15PM",pos_2_4,-28,-55,-22
"April 24, 2021 at 04:15PM",pos_2_4,-28,-62,-24
"April 24, 2021 at 04:15PM",pos_2_4,-31,-56,-27
"April 24, 2021 at 04:16PM",pos_2_4,-30,-57,-22
"April 24, 2021 at 04:16PM",pos_2_4,-30,-60,-30
"April 24, 2021 at 04:16PM",pos_2_4,-30,-57,-30
"April 24, 2021 at 04:16PM",pos_2_4,-31,-60,-24
"April 24, 2021 at 04:16PM",pos_2_4,-32,-67,-25
"April 24, 2021 at 04:17PM",pos_2_4,-30,-56,-23
"April 24, 2021 at 04:17PM",pos_2_4,-32,-64,-26
"April 24, 2021 at 04:17PM",pos_2_4,-34,-55,-24
"April 24, 2021 at 04:17PM",pos_2_4,-28,-49,-19
