"April 20, 2021 at 08:45PM",pos_2_2,AP1,AP2,AP3
"April 24, 2021 at 02:03PM",pos_2_2,-31,-68,-36
"April 24, 2021 at 02:03PM",pos_2_2,-31,-71,-36
"April 24, 2021 at 02:03PM",pos_2_2,-32,-64,-34
"April 24, 2021 at 02:04PM",pos_2_2,-35,-70,-38
"April 24, 2021 at 02:04PM",pos_2_2,-31,-65,-37
"April 24, 2021 at 02:04PM",pos_2_2,-30,-63,-36
"April 24, 2021 at 02:04PM",pos_2_2,-35,-58,-34
"April 24, 2021 at 02:04PM",pos_2_2,-32,-60,-32
"April 24, 2021 at 02:05PM",pos_2_2,-32,-62,-33
"April 24, 2021 at 02:05PM",pos_2_2,-33,-62,-34
"April 24, 2021 at 02:05PM",pos_2_2,-32,-66,-37
"April 24, 2021 at 02:05PM",pos_2_2,-32,-59,-38
"April 24, 2021 at 02:05PM",pos_2_2,-34,-62,-35
"April 24, 2021 at 02:05PM",pos_2_2,-35,-59,-37
"April 24, 2021 at 02:06PM",pos_2_2,-31,-55,-32
"April 24, 2021 at 02:06PM",pos_2_2,-34,-68,-36
"April 24, 2021 at 02:06PM",pos_2_2,-29,-65,-36
"April 24, 2021 at 02:06PM",pos_2_2,-29,-61,-35
"April 24, 2021 at 02:06PM",pos_2_2,-30,-57,-31
"April 24, 2021 at 02:07PM",pos_2_2,-30,-65,-34
"April 24, 2021 at 02:07PM",pos_2_2,-30,-62,-41
"April 24, 2021 at 02:07PM",pos_2_2,-34,-60,-37
"April 24, 2021 at 02:07PM",pos_2_2,-30,-76,-38
"April 24, 2021 at 02:07PM",pos_2_2,-33,-69,-29
"April 24, 2021 at 02:07PM",pos_2_2,-31,-69,-31
"April 24, 2021 at 02:08PM",pos_2_2,-33,-63,-28
"April 24, 2021 at 02:08PM",pos_2_2,-33,-76,-31
"April 24, 2021 at 02:08PM",pos_2_2,-31,-64,-30
"April 24, 2021 at 02:08PM",pos_2_2,-31,-70,-31
"April 24, 2021 at 02:08PM",pos_2_2,-32,-71,-31
"April 24, 2021 at 02:09PM",pos_2_2,-34,-68,-28
"April 24, 2021 at 02:09PM",pos_2_2,-34,-66,-35
"April 24, 2021 at 02:09PM",pos_2_2,-30,-67,-32
"April 24, 2021 at 02:09PM",pos_2_2,-32,-65,-28
"April 24, 2021 at 02:09PM",pos_2_2,-27,-66,-33
"April 24, 2021 at 02:10PM",pos_2_2,-29,-66,-33
"April 24, 2021 at 02:10PM",pos_2_2,-32,-60,-28
"April 24, 2021 at 02:10PM",pos_2_2,-31,-60,-34
"April 24, 2021 at 02:10PM",pos_2_2,-33,-70,-27
"April 24, 2021 at 02:10PM",pos_2_2,-31,-66,-28
"April 24, 2021 at 02:10PM",pos_2_2,-30,-63,-33
"April 24, 2021 at 02:11PM",pos_2_2,-57,-59,-29
"April 24, 2021 at 02:11PM",pos_2_2,-33,-66,-36
"April 24, 2021 at 02:11PM",pos_2_2,-30,-61,-33
"April 24, 2021 at 02:11PM",pos_2_2,-30,-61,-35
"April 24, 2021 at 02:11PM",pos_2_2,-32,-64,-28
"April 24, 2021 at 02:12PM",pos_2_2,-35,-69,-35
"April 24, 2021 at 02:12PM",pos_2_2,-33,-63,-30
"April 24, 2021 at 02:12PM",pos_2_2,-32,-69,-33
"April 24, 2021 at 02:12PM",pos_2_2,-33,-65,-28
"April 24, 2021 at 02:12PM",pos_2_2,-33,-75,-34
"April 24, 2021 at 02:13PM",pos_2_2,-31,-76,-34
"April 24, 2021 at 02:13PM",pos_2_2,-33,-69,-30
"April 24, 2021 at 02:13PM",pos_2_2,-34,-63,-28
"April 24, 2021 at 02:13PM",pos_2_2,-34,-53,-33
"April 24, 2021 at 02:13PM",pos_2_2,-33,-61,-29
"April 24, 2021 at 02:13PM",pos_2_2,-33,-73,-31
"April 24, 2021 at 02:14PM",pos_2_2,-31,-68,-27
"April 24, 2021 at 02:14PM",pos_2_2,-30,-63,-31
"April 24, 2021 at 02:14PM",pos_2_2,-33,-62,-33
"April 24, 2021 at 02:14PM",pos_2_2,-32,-65,-31
"April 24, 2021 at 02:14PM",pos_2_2,-31,-72,-31
"April 24, 2021 at 02:15PM",pos_2_2,-29,-61,-30
"April 24, 2021 at 02:15PM",pos_2_2,-30,-80,-30
"April 24, 2021 at 02:15PM",pos_2_2,-30,-61,-35
"April 24, 2021 at 02:15PM",pos_2_2,-32,-57,-36
"April 24, 2021 at 02:15PM",pos_2_2,-31,-62,-32
"April 24, 2021 at 02:15PM",pos_2_2,-34,-59,-35
"April 24, 2021 at 02:16PM",pos_2_2,-31,-65,-31
"April 24, 2021 at 02:16PM",pos_2_2,-31,-62,-28
"April 24, 2021 at 02:16PM",pos_2_2,-30,-65,-29
"April 24, 2021 at 02:16PM",pos_2_2,-31,-61,-32
"April 24, 2021 at 02:16PM",pos_2_2,-31,-76,-29
"April 24, 2021 at 02:17PM",pos_2_2,-33,-65,-31
"April 24, 2021 at 02:17PM",pos_2_2,-32,-65,-26
"April 24, 2021 at 02:17PM",pos_2_2,-32,-65,-28
"April 24, 2021 at 02:17PM",pos_2_2,-32,-60,-29
"April 24, 2021 at 02:17PM",pos_2_2,-31,-64,-33
"April 24, 2021 at 02:18PM",pos_2_2,-32,-59,-27
"April 24, 2021 at 02:18PM",pos_2_2,-30,-61,-31
"April 24, 2021 at 02:18PM",pos_2_2,-31,-71,-33
"April 24, 2021 at 02:18PM",pos_2_2,-36,-67,-30
"April 24, 2021 at 02:18PM",pos_2_2,-32,-63,-28
"April 24, 2021 at 02:19PM",pos_2_2,-35,-68,-30
"April 24, 2021 at 02:19PM",pos_2_2,-30,-61,-30
"April 24, 2021 at 02:19PM",pos_2_2,-32,-66,-27
"April 24, 2021 at 02:19PM",pos_2_2,-33,-60,-34
"April 24, 2021 at 02:19PM",pos_2_2,-34,-67,-31
"April 24, 2021 at 02:20PM",pos_2_2,-33,-67,-33
"April 24, 2021 at 02:20PM",pos_2_2,-37,-63,-29
"April 24, 2021 at 02:20PM",pos_2_2,-32,-62,-33
"April 24, 2021 at 02:20PM",pos_2_2,-33,-66,-36
"April 24, 2021 at 02:20PM",pos_2_2,-33,-63,-30
"April 24, 2021 at 02:20PM",pos_2_2,-32,-62,-33
"April 24, 2021 at 02:21PM",pos_2_2,-33,-65,-28
"April 24, 2021 at 02:21PM",pos_2_2,-31,-60,-30
"April 24, 2021 at 02:21PM",pos_2_2,-36,-68,-32
"April 24, 2021 at 02:22PM",pos_2_2,-31,-71,-32
"April 24, 2021 at 02:22PM",pos_2_2,-32,-75,-32
"April 24, 2021 at 02:22PM",pos_2_2,-35,-61,-33
"April 24, 2021 at 02:22PM",pos_2_2,-33,-64,-29
"April 24, 2021 at 02:22PM",pos_2_2,-35,-75,-31
"April 24, 2021 at 02:23PM",pos_2_2,-31,-67,-25
"April 24, 2021 at 02:23PM",pos_2_2,-33,-72,-30
"April 24, 2021 at 02:23PM",pos_2_2,-28,-64,-27
"April 24, 2021 at 02:23PM",pos_2_2,-31,-68,-28
"April 24, 2021 at 02:23PM",pos_2_2,-33,-69,-33
"April 24, 2021 at 02:23PM",pos_2_2,-33,-66,-31
"April 24, 2021 at 02:24PM",pos_2_2,-32,-68,-29
"April 24, 2021 at 02:24PM",pos_2_2,-31,-76,-29
"April 24, 2021 at 02:24PM",pos_2_2,-32,-76,-30
"April 24, 2021 at 02:24PM",pos_2_2,-31,-59,-29
"April 24, 2021 at 02:24PM",pos_2_2,-30,-61,-33
"April 24, 2021 at 02:25PM",pos_2_2,-31,-77,-28
"April 24, 2021 at 02:25PM",pos_2_2,-32,-64,-33
"April 24, 2021 at 02:25PM",pos_2_2,-31,-62,-29
,pos[2.2],-32.17241379,-65.31034483,-31.68965517
